GAME_ID,player_id,person_id,first_name,last_name,jersey_number,position_str,shots,shots_on,goals,assists,faceoff_wins,faceoff_attempts,plusminus,hits,pim,H_A,team_name,PP_G,PP_A1,PP_A2,EV_G,EV_A2,EV_GF,EV_GA,EV_A1,game_number,SH_A1,SH_A2,SH_G
1018604,28148,8426,Kai,Uchacz,19,C,0,0,0,0,13,22,0,0,0,A,Red Deer Rebels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
1018604,28856,9264,Arjun,Bawa,20,LW,0,0,0,0,0,0,0,0,2,A,Red Deer Rebels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
1018604,29244,9744,Escalus,Burlock,21,RW,0,0,0,0,0,0,0,0,0,A,Red Deer Rebels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
1018604,28449,8792,Jhett,Larson,23,RW,4,4,2,1,2,3,+1,0,0,A,Red Deer Rebels,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
1018604,28857,9265,Talon,Brigley,26,RW,3,3,0,2,0,1,+2,0,2,A,Red Deer Rebels,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1,0.0,0.0,0.0
1018604,29246,9746,Quentin,Bourne,28,D,1,1,0,0,0,0,0,0,0,A,Red Deer Rebels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
1018604,27848,8043,Tanner,Brown,29,D,3,3,0,3,0,0,+3,0,0,A,Red Deer Rebels,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1,0.0,0.0,0.0
1018605,28047,8324,Logan,Bairos,2,LD,1,1,0,0,0,0,-1,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
1018605,28933,9375,Rylan,Pearce,3,D,0,0,0,0,0,0,-1,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0,0.0
1018605,29141,9638,Aapo,Sarell,6,D,4,4,0,0,0,0,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,28687,9038,Kaden,Hammell,7,RD,4,4,0,0,0,0,-2,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0,0.0
1018605,28721,9072,Emmitt,Finnie,9,LW,1,1,0,0,3,5,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
1018605,29140,9637,Conner,Radke,10,RW,0,0,0,0,2,4,0,0,0,H,Kamloops Blazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
