shots,points,EVprimarypoints,plusminus,SH_A1,pim,team_name,name,SH_A2,EV_G,hits,position_str,SH_G,faceoff_attempts,person_id,5v5_A2,EV_A2,EV_A1,PP_G,assists,jersey_number,GAME_ID,faceoff_wins,PP_A1,H_A,PP_A2,player_id,5v5_A1,goals,5v5primarypoints,game_number,5v5_G,birthdate_year,primarypoints
0,1,1.0,0,0.0,0,Prince George Spruce Kings,Linden Makow,0.0,1.0,0,RW,0.0,0,8753,0,0.0,0.0,0.0,0,14,11354,0,0.0,A,0.0,6751,0,1,0,1,0,2004,0.0
0,0,0.0,0,0.0,0,Prince George Spruce Kings,Adam Mendelson,0.0,0.0,0,C,0.0,0,9489,0,0.0,0.0,0.0,0,16,11354,0,0.0,A,0.0,7426,0,0,0,1,0,2003,0.0
0,0,0.0,0,0.0,2,Prince George Spruce Kings,Ty Gagno,0.0,0.0,0,C,0.0,0,8301,0,0.0,0.0,0.0,0,17,11354,0,0.0,A,0.0,6366,0,0,0,1,0,2003,0.0
0,0,0.0,0,0.0,0,Prince George Spruce Kings,Kilian McGregor-Bennett,0.0,0.0,0,LW,0.0,0,8063,0,0.0,0.0,0.0,0,18,11354,0,0.0,A,0.0,6141,0,0,0,1,0,2003,0.0
0,2,1.0,0,0.0,2,Prince George Spruce Kings,Austin Fraser,0.0,0.0,0,RW,0.0,0,8144,0,1.0,1.0,0.0,2,19,11354,0,0.0,A,0.0,6218,0,0,0,1,0,2003,0.0
0,0,0.0,0,0.0,0,Prince George Spruce Kings,Evan Fedele,0.0,0.0,0,LW,0.0,0,8898,0,0.0,0.0,0.0,0,20,11354,0,0.0,A,0.0,6884,0,0,0,1,0,2004,0.0
0,0,0.0,0,0.0,0,Prince George Spruce Kings,Luke Eurig,0.0,0.0,0,C,0.0,0,9490,0,0.0,0.0,0.0,0,21,11354,0,0.0,A,0.0,7427,0,0,0,1,0,2003,0.0
0,1,1.0,0,0.0,0,Prince George Spruce Kings,Jack Stockfish,0.0,0.0,0,RW,0.0,0,9488,0,0.0,1.0,0.0,1,22,11354,0,0.0,A,0.0,7425,0,0,0,1,0,2002,0.0
0,0,0.0,0,0.0,0,Prince George Spruce Kings,Ben LeFranc,0.0,0.0,0,RD,0.0,0,8218,0,0.0,0.0,0.0,0,23,11354,0,0.0,A,0.0,6283,0,0,0,1,0,2003,0.0
0,1,1.0,0,0.0,2,Prince George Spruce Kings,Charlie Banquier,0.0,0.0,0,RD,0.0,0,9492,0,0.0,1.0,0.0,1,24,11354,0,0.0,A,0.0,7429,0,0,0,1,0,2002,0.0
0,0,0.0,0,0.0,0,Prince George Spruce Kings,Carter Hesselgrave,0.0,0.0,0,F,0.0,0,9304,0,0.0,0.0,0.0,0,25,11354,0,0.0,A,0.0,7269,0,0,0,1,0,2005,0.0
0,2,2.0,0,0.0,0,Prince George Spruce Kings,John Herrington,0.0,2.0,0,C,0.0,0,7422,0,0.0,0.0,0.0,0,26,11354,0,0.0,A,0.0,5514,0,2,0,1,0,2002,0.0
