GAME_ID,game_number,H_A,team_name,player_id,person_id,name,birth_date,birthdate_year,OA,jersey_number,position_str,shots,goals,assists,points,primarypoints,5v5primarypoints,EVprimarypoints,plusminus,hits,pim,5v5_G,5v5_A1,5v5_A2,EV_G,EV_A1,EV_A2,PP_G,PP_A1,PP_A2,SH_G,SH_A1,SH_A2,5v5_GF,5v5_GA,5v5_GF%,faceoff_wins,faceoff_attempts
1020216,1,A,Medicine Hat Tigers,29177,9676,Blake Ekren-Bratton,2005-04-16,2005,0,10,D,1,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0
1020216,1,A,Medicine Hat Tigers,28394,8715,Tyler MacKenzie,2004-06-06,2004,0,11,LW,1,1,1,2,2.0,1.0,2.0,+2,0,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,7,16
1020216,1,A,Medicine Hat Tigers,29384,9948,Markus Ruck,2008-02-21,2008,0,14,C,1,0,0,0,0.0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,6
1020216,1,A,Medicine Hat Tigers,28952,9395,Hunter St. Martin,2005-06-13,2005,0,16,LW,5,0,2,2,1.0,1.0,1.0,+2,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0,0
1020216,1,A,Medicine Hat Tigers,28392,8713,Brayden Boehm,2004-01-15,2004,0,17,RW,5,2,1,3,3.0,2.0,2.0,+2,0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.6666666666666666,0,3
1020216,1,A,Medicine Hat Tigers,28953,9396,Brett Calhoon,2005-01-10,2005,0,18,LW,3,0,0,0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,1
1020216,1,A,Medicine Hat Tigers,28820,9221,Shane Smith,2005-01-14,2005,0,19,C,4,2,0,2,2.0,1.0,1.0,+2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11,20
1020216,1,A,Medicine Hat Tigers,29091,9575,Cru Hanas,2005-04-23,2005,0,20,LW,3,1,1,2,2.0,2.0,2.0,+1,0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,0,0
1020216,1,A,Medicine Hat Tigers,29379,9943,Bruno Petrovics,2006-04-27,2006,0,23,D,1,0,1,1,1.0,0.0,0.0,+1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
1020216,1,A,Medicine Hat Tigers,29179,9678,Kolby Gapter,2006-07-30,2006,0,24,D,2,0,0,0,0.0,0.0,0.0,+1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
1020216,1,A,Medicine Hat Tigers,29383,9947,Liam Ruck,2008-02-21,2008,0,25,RW,5,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0,0
1020216,1,A,Medicine Hat Tigers,29380,9944,Riley Steen,2008-09-08,2008,0,27,D,0,0,0,0,0.0,0.0,0.0,+1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.6666666666666666,0,0
1020216,1,A,Medicine Hat Tigers,29381,9945,Koray Bozkaya,2008-08-22,2008,0,29,D,2,0,0,0,0.0,0.0,0.0,+3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0,0
